#          time         x_star         y_star           x_p1           y_p1           x_p2           y_p2           x_p3           y_p3           x_p4           y_p4 
       3.07692     0.00200039    -0.00655512      -0.627897        1.92378       0.731219       0.675386      0.0279429       0.516252      -0.230576      0.0251307 
       3.09615     0.00216065    -0.00650671      -0.671649        1.90878       0.684476       0.722112     -0.0624923       0.512142      -0.204969      -0.101772 
       3.11538     0.00231757    -0.00645408      -0.715049        1.89278       0.634726       0.765634      -0.150949       0.492174      -0.108287      -0.194913 
       3.13462     0.00247175    -0.00639859      -0.758072        1.87579       0.582187       0.805759       -0.23469       0.456874      0.0299668      -0.214637 
       3.15385     0.00262464    -0.00634087      -0.800697        1.85781       0.527088       0.842307      -0.311082        0.40723       0.155443      -0.145448 
       3.17308     0.00277772    -0.00628017      -0.842902        1.83885       0.469672       0.875115      -0.377678       0.344683       0.212806     -0.0142379 
       3.19231      0.0029314    -0.00621478      -0.884663        1.81892       0.410191       0.904037      -0.432293       0.271094       0.180543       0.121415 
       3.21154     0.00308468    -0.00614318      -0.925959        1.79804       0.348907       0.928943      -0.473081       0.188705      0.0791115       0.208974 
       3.23077     0.00323592    -0.00606479      -0.966767        1.77622        0.28609       0.949721      -0.498601        0.10008      -0.049413       0.222766 
          3.25     0.00338346    -0.00597995       -1.00707        1.75346       0.222016       0.966276      -0.507887     0.00802972      -0.161583        0.16352 
       3.26923     0.00352598    -0.00588964       -1.04684        1.72977       0.156969       0.978533      -0.500491     -0.0844679      -0.222128      0.0513738 
       3.28846     0.00366264    -0.00579538       -1.08606        1.70518      0.0912365       0.986436       -0.47652      -0.174372      -0.208903     -0.0788344 
       3.30769     0.00379332    -0.00569901        -1.1247        1.67968      0.0251092       0.989946      -0.436647      -0.258687       -0.11986      -0.181795 
       3.32692     0.00391895    -0.00560233       -1.16276        1.65331     -0.0411195       0.989046      -0.382103      -0.334567      0.0178048      -0.213244 
       3.34615     0.00404145    -0.00550629        -1.2002        1.62606      -0.107156       0.983739      -0.314647      -0.399438       0.148664      -0.153821 
       3.36538     0.00416283    -0.00541032         -1.237        1.59795      -0.172707       0.974045        -0.2365      -0.451087       0.215763     -0.0283871 
       3.38462     0.00428404    -0.00531282       -1.27316          1.569       -0.23748       0.960006      -0.150271      -0.487764       0.195534       0.107767 
       3.40385     0.00440472    -0.00521226       -1.30864        1.53923      -0.301188       0.941684     -0.0588532      -0.508242       0.104001       0.203185 
